combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT024_ENT1204,ENT024,ENT1204,Execute_Customerprofiles,Write_TreasuryManagementEuropereports,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,0,1.4540295976012902,False,0.13996789284736685,1,2025-06-13 14:08:32.962591
ENT024_ENT1272,ENT024,ENT1272,Execute_Customerprofiles,Read_TreasuryManagementAmericasconfigurationsettings,2,1.0986122886681096,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,2.345726409699311,False,0.22580447007658652,1,2025-06-13 14:08:32.962591
ENT024_ENT1354,ENT024,ENT1354,Execute_Customerprofiles,Execute_TradingPlatformEuropebatchjobs,2,1.0986122886681096,0,8,8,8.0,0,1,9,9.0,0,1,1,1,72.0,0,4.924950138026947,False,0.4740858744107924,1,2025-06-13 14:08:32.962591
ENT024_ENT1396,ENT024,ENT1396,Execute_Customerprofiles,Read_TradingPlatformAmericasdashboards,2,1.0986122886681096,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,0,2.008212925494828,False,0.19331472484058312,1,2025-06-13 14:08:32.962591
ENT024_ENT148,ENT024,ENT148,Execute_Customerprofiles,Read_Creditreports,3,1.3862943611198906,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.337040194017476,False,0.12870625117782308,1,2025-06-13 14:08:32.962591
ENT024_ENT1524,ENT024,ENT1524,Execute_Customerprofiles,Read_RegReportingAsiaauditlogs,2,1.0986122886681096,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,2.345726409699311,False,0.22580447007658652,1,2025-06-13 14:08:32.962591
ENT024_ENT1749,ENT024,ENT1749,Execute_Customerprofiles,Read_FraudDetectionAmericasbatchjobs,3,1.3862943611198906,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,0,1.9902854036199737,False,0.19158898454964407,1,2025-06-13 14:08:32.962591
ENT024_ENT1927,ENT024,ENT1927,Execute_Customerprofiles,Write_WealthManagementEuropeworkflowrules,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,0,1.4540295976012902,False,0.13996789284736685,1,2025-06-13 14:08:32.962591
ENT024_ENT447,ENT024,ENT447,Execute_Customerprofiles,Execute_ATMNetworkauditlogs,2,1.0986122886681096,0,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,0,3.43768518699682,False,0.3309186777836772,1,2025-06-13 14:08:32.962591
ENT024_ENT486,ENT024,ENT486,Execute_Customerprofiles,Read_MobileBankingnotifications,3,1.3862943611198906,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,2.3303967951615117,False,0.224328809712755,1,2025-06-13 14:08:32.962591
ENT024_ENT491,ENT024,ENT491,Execute_Customerprofiles,Read_MobileBankingconfigurationsettings,3,1.3862943611198906,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,2.3303967951615117,False,0.224328809712755,1,2025-06-13 14:08:32.962591
ENT024_ENT609,ENT024,ENT609,Execute_Customerprofiles,Write_HRSystemsystemparameters,2,1.0986122886681096,0,8,5,6.5,3,1,9,7.0,0,0,1,1,48.5,0,1.6319677431262292,False,0.15709658632608323,1,2025-06-13 14:08:32.962591
ENT024_ENT688,ENT024,ENT688,Execute_Customerprofiles,Write_SharePointPortalnotifications,1,0.6931471805599453,1,8,4,6.0,4,1,9,6.5,0,0,1,1,44.0,0,5.506090674968251,True,0.5300276630360377,1,2025-06-13 14:08:32.962591
ENT024_ENT979,ENT024,ENT979,Execute_Customerprofiles,Read_PaymentHubEuropeuseraccounts,3,1.3862943611198906,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.337040194017476,False,0.12870625117782308,1,2025-06-13 14:08:32.962591
ENT1204_ENT1272,ENT1204,ENT1272,Write_TreasuryManagementEuropereports,Read_TreasuryManagementAmericasconfigurationsettings,4,1.6094379124341003,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,1,1.6198417091716206,False,0.155929309247252,1,2025-06-13 14:08:32.962591
ENT1204_ENT1354,ENT1204,ENT1354,Write_TreasuryManagementEuropereports,Execute_TradingPlatformEuropebatchjobs,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,0,1.4784739554562143,False,0.14232095723244198,1,2025-06-13 14:08:32.962591
ENT1204_ENT1396,ENT1204,ENT1396,Write_TreasuryManagementEuropereports,Read_TradingPlatformAmericasdashboards,4,1.6094379124341003,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,0,2.8765789194194267,False,0.276905429314856,1,2025-06-13 14:08:32.962591
ENT1204_ENT148,ENT1204,ENT148,Write_TreasuryManagementEuropereports,Read_Creditreports,5,1.791759469228055,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,2.10167022320294,False,0.20231111738513188,1,2025-06-13 14:08:32.962591
ENT1204_ENT1524,ENT1204,ENT1524,Write_TreasuryManagementEuropereports,Read_RegReportingAsiaauditlogs,3,1.3862943611198906,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,1,1.8619017012979229,False,0.17923050414483974,1,2025-06-13 14:08:32.962591
ENT1204_ENT1749,ENT1204,ENT1749,Write_TreasuryManagementEuropereports,Read_FraudDetectionAmericasbatchjobs,3,1.3862943611198906,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,0,2.4782087982103658,False,0.2385574984811454,1,2025-06-13 14:08:32.962591
ENT1204_ENT1927,ENT1204,ENT1927,Write_TreasuryManagementEuropereports,Write_WealthManagementEuropeworkflowrules,4,1.6094379124341003,0,6,6,6.0,0,1,7,7.0,0,1,1,1,42.0,1,2.9801373744671804,False,0.2868741801322225,1,2025-06-13 14:08:32.962591
ENT1204_ENT447,ENT1204,ENT447,Write_TreasuryManagementEuropereports,Execute_ATMNetworkauditlogs,4,1.6094379124341003,0,7,6,6.5,1,1,8,7.5,0,0,1,1,49.0,0,2.397881393845629,False,0.23082501659399635,1,2025-06-13 14:08:32.962591
ENT1204_ENT486,ENT1204,ENT486,Write_TreasuryManagementEuropereports,Read_MobileBankingnotifications,4,1.6094379124341003,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,1,1.6198417091716206,False,0.155929309247252,1,2025-06-13 14:08:32.962591
ENT1204_ENT491,ENT1204,ENT491,Write_TreasuryManagementEuropereports,Read_MobileBankingconfigurationsettings,4,1.6094379124341003,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,1,1.6198417091716206,False,0.155929309247252,1,2025-06-13 14:08:32.962591
ENT1204_ENT609,ENT1204,ENT609,Write_TreasuryManagementEuropereports,Write_HRSystemsystemparameters,3,1.3862943611198906,0,6,5,5.5,1,1,7,6.0,0,1,1,1,33.5,1,2.256398815886689,False,0.21720561136029604,1,2025-06-13 14:08:32.962591
ENT1204_ENT688,ENT1204,ENT688,Write_TreasuryManagementEuropereports,Write_SharePointPortalnotifications,2,1.0986122886681096,0,6,4,5.0,2,1,7,5.5,0,1,1,1,29.0,1,3.0704535239898916,False,0.2955681992633571,1,2025-06-13 14:08:32.962591
