combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT024_ENT1181,ENT024,ENT1181,Execute_Customerprofiles,Write_TreasuryManagementAsiareports,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.4201689094410568,False,0.30681307083217324,1,2025-06-13 14:07:44.204944
ENT024_ENT1278,ENT024,ENT1278,Execute_Customerprofiles,Write_TreasuryManagementAmericasnotifications,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.7374177220506422,False,0.375351455081774,1,2025-06-13 14:07:44.204944
ENT024_ENT1396,ENT024,ENT1396,Execute_Customerprofiles,Read_TradingPlatformAmericasdashboards,3,1.3862943611198906,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,1,1.77558019013441,False,0.38359606876503216,1,2025-06-13 14:07:44.204944
ENT024_ENT1489,ENT024,ENT1489,Execute_Customerprofiles,Read_RiskEngineAmericasreferencedata,4,1.6094379124341003,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,1,1.0485812318746073,False,0.22653532662889497,1,2025-06-13 14:07:44.204944
ENT024_ENT1524,ENT024,ENT1524,Execute_Customerprofiles,Read_RegReportingAsiaauditlogs,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,2.490433183425981,False,0.5380327985140866,1,2025-06-13 14:07:44.204944
ENT024_ENT1650,ENT024,ENT1650,Execute_Customerprofiles,Execute_FraudDetectionAsiaworkflowrules,2,1.0986122886681096,0,8,8,8.0,0,1,9,9.0,0,1,1,1,72.0,0,4.628775774086526,True,1.0,1,2025-06-13 14:07:44.204944
ENT024_ENT1749,ENT024,ENT1749,Execute_Customerprofiles,Read_FraudDetectionAmericasbatchjobs,4,1.6094379124341003,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,1,2.038240815298916,False,0.440341229469288,1,2025-06-13 14:07:44.204944
ENT024_ENT185,ENT024,ENT185,Execute_Customerprofiles,Read_Cashpositions,3,1.3862943611198906,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,1.6047973028656584,False,0.3467001602993742,1,2025-06-13 14:07:44.204944
ENT024_ENT1997,ENT024,ENT1997,Execute_Customerprofiles,Write_WealthManagementAmericasconfigurationsettings,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.8146209855924162,False,0.39203043615793337,1,2025-06-13 14:07:44.204944
ENT024_ENT346,ENT024,ENT346,Execute_Customerprofiles,Read_Watchlists,3,1.3862943611198906,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,1,1.77558019013441,False,0.38359606876503216,1,2025-06-13 14:07:44.204944
ENT024_ENT405,ENT024,ENT405,Execute_Customerprofiles,Read_WealthManagementconfigurationsettings,4,1.6094379124341003,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,1.8913262523524423,False,0.4086018300866366,1,2025-06-13 14:07:44.204944
ENT024_ENT486,ENT024,ENT486,Execute_Customerprofiles,Read_MobileBankingnotifications,3,1.3862943611198906,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,1.6047973028656584,False,0.3467001602993742,1,2025-06-13 14:07:44.204944
